Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-01-02,5.972160816192627,5.972160816192627,5.892751478140193,5.943284736428357,237536000
2020-01-03,5.876570701599121,5.920383126947964,5.827530697782755,5.852424132067387,205384000
2020-01-06,5.901214599609375,5.906442177842307,5.757082528442674,5.783220419607336,262636000
2020-01-07,5.972659111022949,6.018462860706855,5.88453666408317,5.929593548989243,314856000
2020-01-08,5.983861446380615,6.025184484363847,5.928349401284013,5.968427506304748,277108000
2020-01-09,6.049578666687012,6.122018367292385,5.995809158436552,6.070240181628175,255112000
2020-01-10,6.081941604614258,6.187240533231211,6.067752596061456,6.156870718144113,316296000
2020-01-13,6.272624492645264,6.2977667270316795,6.142432131580578,6.165085449519322,319840000
2020-01-14,6.155625343322754,6.255198609471692,6.142431523520895,6.229807106111832,359088000
2020-01-15,6.113058090209961,6.19072538934148,6.087168990499455,6.1683213424842025,263104000
2020-01-16,6.196699619293213,6.202674063235496,6.1431788952956,6.166578602901696,284192000
2020-01-17,6.205412864685059,6.223336198284075,6.157866579928591,6.2158680239171,253792000
2020-01-21,6.172054767608643,6.205660832998418,6.137950634111181,6.1688185119156165,217916000
2020-01-22,6.226071834564209,6.312700532581973,6.198440217975507,6.217359205441887,239240000
2020-01-23,6.294529914855957,6.302993749399397,6.177282588572863,6.266151901673398,244516000
2020-01-24,6.235284328460693,6.459822377522355,6.181016740859083,6.410035504074438,373512000
2020-01-27,5.9793806076049805,6.030411937538711,5.780980460009184,5.930589397272543,470536000
2020-01-28,6.172800540924072,6.205161667724082,5.992074494613424,6.04534640659176,310976000
2020-01-29,6.112311840057373,6.194459855480185,6.0724820532193915,6.158364393072457,258848000
2020-01-30,6.119032382965088,6.132475000668001,5.9594663457306005,6.014480325152171,290504000
2020-01-31,5.885532379150391,6.085176980409224,5.843711749632916,6.073228093460578,370420000
2020-02-03,5.982615947723389,6.002032530375572,5.86113624602365,5.8673594853453634,255564000
2020-02-04,6.151891231536865,6.1710594954488736,6.074473210292786,6.124508879153485,271544000
2020-02-05,6.24225378036499,6.283078746429392,6.158860847289228,6.2728723862126,208220000
2020-02-06,6.329131126403809,6.329131126403809,6.195454210072389,6.276606546794915,218284000
2020-02-07,6.262915134429932,6.311208271913622,6.2375236328730574,6.289053025912521,189752000
2020-02-10,6.546202182769775,6.546948572779243,6.28058989680513,6.285568679018412,529608000
